f	NaN	41.0	57.0	20.0	39.0	58.0	215.0	43.0
f	NaN	47.0	14.0	46.0	55.0	71.0	233.0	46.6
p	NaN	74.0	91.0	55.0	54.0	13.0	287.0	57.4
f	NaN	75.0	74.0	36.0	35.0	14.0	234.0	46.8
f	NaN	77.0	31.0	59.0	58.0	15.0	240.0	48.0
p	NaN	70.0	37.0	81.0	30.0	77.0	295.0	59.0
f	NaN	40.0	5.0	61.0	30.0	46.0	182.0	36.4
p	NaN	47.0	52.0	68.0	37.0	65.0	269.0	53.8
p	NaN	68.0	92.0	39.0	78.0	75.0	352.0	70.4
p	NaN	45.0	62.0	56.0	35.0	63.0	261.0	52.2
p	NaN	66.0	47.0	87.0	46.0	73.0	319.0	63.8
p	NaN	52.0	50.0	63.0	30.0	76.0	271.0	54.2
f	NaN	41.0	10.0	42.0	31.0	47.0	171.0	34.2
p	NaN	65.0	29.0	46.0	65.0	72.0	277.0	55.4
f	NaN	77.0	41.0	38.0	57.0	16.0	229.0	45.8
f	NaN	76.0	62.0	27.0	26.0	15.0	206.0	41.2
f	NaN	76.0	33.0	48.0	37.0	14.0	208.0	41.6
p	NaN	48.0	25.0	57.0	76.0	72.0	278.0	55.6
f	NaN	81.0	34.0	53.0	22.0	38.0	228.0	45.6
p	NaN	63.0	44.0	64.0	53.0	69.0	293.0	58.6
p	NaN	71.0	73.0	72.0	51.0	78.0	345.0	69.0
f	NaN	21.0	19.0	70.0	49.0	22.0	181.0	36.2
f	NaN	20.0	37.0	29.0	78.0	21.0	185.0	37.0
f	NaN	23.0	32.0	52.0	73.0	24.0	204.0	40.8
p	NaN	36.0	71.0	35.0	74.0	48.0	264.0	52.8
p	NaN	40.0	88.0	49.0	58.0	57.0	292.0	58.4
p	NaN	46.0	77.0	61.0	16.0	64.0	264.0	52.8
f	NaN	25.0	77.0	54.0	23.0	26.0	205.0	41.0
f	NaN	66.0	21.0	26.0	67.0	25.0	205.0	41.0
p	NaN	43.0	82.0	44.0	13.0	61.0	243.0	48.6
p	NaN	72.0	47.0	33.0	32.0	79.0	263.0	52.6
f	NaN	56.0	32.0	67.0	46.0	38.0	239.0	47.8
f	NaN	72.0	15.0	44.0	73.0	10.0	214.0	42.8
p	NaN	73.0	88.0	34.0	73.0	12.0	280.0	56.0
p	NaN	58.0	50.0	79.0	48.0	40.0	275.0	55.0
f	NaN	79.0	21.0	61.0	30.0	17.0	208.0	41.6
f	NaN	26.0	19.0	55.0	54.0	27.0	181.0	36.2
f	NaN	60.0	43.0	12.0	21.0	20.0	156.0	31.2
f	NaN	55.0	37.0	36.0	45.0	37.0	210.0	42.0
f	NaN	39.0	22.0	28.0	87.0	56.0	232.0	46.4
f	NaN	27.0	16.0	56.0	45.0	28.0	172.0	34.4
p	NaN	65.0	33.0	75.0	56.0	24.0	253.0	50.6
f	NaN	69.0	55.0	29.0	40.0	28.0	221.0	44.2
f	NaN	22.0	17.0	31.0	50.0	23.0	143.0	28.6
p	NaN	38.0	45.0	77.0	86.0	50.0	296.0	59.2
p	NaN	64.0	33.0	45.0	94.0	70.0	306.0	61.2
f	NaN	33.0	70.0	22.0	41.0	45.0	211.0	42.2
f	NaN	49.0	31.0	38.0	27.0	73.0	218.0	43.6
f	NaN	32.0	65.0	11.0	30.0	44.0	182.0	36.4
f	NaN	28.0	22.0	57.0	56.0	29.0	192.0	38.4
f	NaN	30.0	42.0	59.0	68.0	42.0	241.0	48.2
p	NaN	42.0	67.0	73.0	32.0	48.0	262.0	52.4
p	NaN	84.0	35.0	46.0	45.0	41.0	251.0	50.2
p	NaN	37.0	67.0	46.0	65.0	49.0	264.0	52.8
f	NaN	46.0	15.0	45.0	44.0	63.0	213.0	42.6
f	NaN	67.0	20.0	27.0	38.0	26.0	178.0	35.6
